# list of object assets to load in this scene
[ASSETS]
assets/mario.txt
assets/small-object.txt
[TILESET]
# width|height|maxTiles|sizeTileX|sizeTileY|frame_time|textID
16	16	37	4	11	10000	510
[TILEDMAP]
#load tile map
tilemap/world_map.csv
[CAMERA]
# setting camera initial props
# cleft|ctop|isFixed
0	0	1
[OBJECTS]
# type	x	y	extra_settings per object type
# type: 0 = Mario , 1 = Brick, 2 = Goomba, 3 = Koopas
# See OBJECT_TYPE constants in AssetIDs.h
# MARIO
0	100	100	1

31	16	16	10901
31	32	16	10901
31	48	16	10901
31	208	16	10901
31	224	16	10901

31	16	32	10901
31	32	32	10901
31	48	32	10901
31	80	32	10901
31	96	32	10901
31	112	32	10901
31	144	32	10901
31	160	32	10901
31	176	32	10901
31	208	32	10901
31	224	32	10901

31	80	48	10901
31	96	48	10901
31	112	48	10901
31	208	48	10901
31	224	48	10901


31	16	64	10901
31	32	64	10901
31	48	64	10901
31	80	64	10901
31	96	64	10901
31	112	64	10901
31	144	64	10901
31	160	64	10901
31	176	64	10901
31	192	64	10901
31	208	64	10901
31	224	64	10901

31	16	80	10901
31	32	80	10901
31	48	80	10901
31	144	80	10901
31	160	80	10901
31	144	80	10901
31	224	80	10901


31	16	96	10901
31	96	96	10901
31	112	96	10901
31	128	96	10901
31	224	96	10901

31	224	112	10901
31	224	128	10901
31	224	144	10901

31	160	112	10900

31	208	96	10902
